SYMBOL,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY
NUVOCO,355.0,355.05,351.0,351.1,48098
JUBLINGREA,732.2,751.05,732.2,735.35,73878
HINDUNILVR,2416.0,2421.9,2391.9,2397.5,317833
TIINDIA,2549.0,2571.0,2511.6,2520.4,80204
PTCIL,17880.0,17899.0,17589.0,17680.0,4424
DOMS,2633.0,2636.6,2586.1,2612.0,21150
BAJAJHFL,96.95,97.18,95.8,95.84,2088029
BASF,3899.0,3924.9,3853.0,3853.4,3424
COLPAL,2089.0,2103.5,2061.1,2065.0,111859
TIMKEN,3050.0,3081.6,3026.7,3035.6,9139
GRSE,2504.1,2504.1,2461.9,2478.0,339600
JYOTICNC,981.9,982.0,967.3,970.2,138202
VMM,131.0,131.0,129.23,129.79,4312803
VENTIVE,771.0,777.0,758.5,759.8,39012
ENRIN,2619.1,2621.0,2574.0,2590.0,82551
AADHARHFC,499.65,499.65,490.5,493.6,61473
KOTAKBANK,2146.4,2150.5,2109.2,2119.9,1056065
360ONE,1180.1,1196.0,1171.7,1172.4,156032
TATASTEEL,186.2,186.65,183.7,183.84,8881750
GODFRYPHLP,2190.0,2195.4,2150.0,2153.0,290305
OBEROIRLTY,1720.0,1732.4,1702.6,1703.8,225996
SHREECEM,27560.0,27665.0,27205.0,27305.0,13637
MAHABANK,64.44,64.44,63.12,63.58,7480604
SBICARD,901.05,901.45,887.0,889.4,516558
MANYAVAR,562.95,562.95,555.55,556.15,40811
TATAPOWER,386.6,387.9,381.0,381.25,1391946
BAJAJHLDNG,11224.0,11247.0,11045.0,11050.0,24068
FIRSTCRY,287.0,290.25,284.4,287.45,624451
IGIL,322.0,322.35,315.8,316.9,153633
CENTURYPLY,811.4,814.7,803.4,805.2,13063
HONASA,300.0,305.2,296.5,296.7,252621
RKFORGE,522.5,523.05,514.6,516.3,70362
MOTILALOFS,854.5,856.95,837.5,842.4,307382
INDIGO,5010.0,5045.0,4925.0,4930.0,683993
JINDALSAW,170.41,171.35,168.81,169.0,341345
NBCC,118.5,118.95,116.62,116.8,4513894
PGHH,12820.0,12883.0,12718.0,12725.0,2262
HDFCBANK,956.0,956.45,947.1,947.95,36606907
TRIDENT,26.6,26.66,26.16,26.23,2356093
BLUESTARCO,1823.4,1825.0,1793.2,1796.1,426569
NAVA,609.8,615.0,601.0,602.0,261330
3MINDIA,34900.0,35010.0,34350.0,34490.0,1455
MSUMI,51.2,51.41,50.22,50.38,4172065
VGUARD,334.7,334.7,327.25,327.9,63165
